cwe_id,cwe_name,description,extended_description,capec_ids,parent_cwe_ids,child_cwe_ids,consequence_scopes,consequence_impacts,consequence_notes,consequence_text,mitigation_phases,mitigation_strategies,mitigation_effectiveness,mitigation_text,detection_methods,detection_effectiveness,detection_text
CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",,,CWE-732,,"Confidentiality, Integrity","Read Application Data, Gain Privileges or Assume Identity","If the HttpOnly flag is not set, then sensitive information stored in the cookie may be exposed to unintended parties. | If the cookie in question is an authentication cookie, then not setting the HttpOnly flag may allow an adversary to steal authentication data (e.g., a session ID) and assume the identity of the user.","Scopes: Confidentiality, Integrity | Impacts: Read Application Data, Gain Privileges or Assume Identity | Notes: If the HttpOnly flag is not set, then sensitive information stored in the cookie may be exposed to unintended parties. | If the cookie in question is an authentication cookie, then not setting the HttpOnly flag may allow an adversary to steal authentication data (e.g., a session ID) and assume the identity of the user.",Implementation,,High,Leverage the HttpOnly flag when setting a sensitive cookie in a response.,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1007,Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.","Some glyphs, pictures, or icons can be semantically distinct to a program, while appearing very similar or identical to a human user. These are referred to as homoglyphs. For example, the lowercase ""l"" (ell) and uppercase ""I"" (eye) have different character codes, but these characters can be displayed in exactly the same way to a user, depending on the font. This can also occur between different character sets. For example, the Latin capital letter ""A"" and the Greek capital letter ""Α"" (Alpha) are treated as distinct by programs, but may be displayed in exactly the same way to a user. Accent marks may also cause letters to appear very similar, such as the Latin capital letter grave mark ""À"" and its equivalent ""Á"" with the acute accent. Adversaries can exploit this visual similarity for attacks such as phishing, e.g. by providing a link to an attacker-controlled hostname that looks like a hostname that the victim trusts. In a different use of homoglyphs, an adversary may create a back door username that is visually similar to the username of a regular user, which then makes it more difficult for a system administrator to detect the malicious username while reviewing logs.",CAPEC-632,CWE-451,,"Integrity, Confidentiality",Other,"An attacker may ultimately redirect a user to a malicious website, by deceiving the user into believing the URL they are accessing is a trusted domain. However, the attack can also be used to forge log entries by using homoglyphs in usernames. Homoglyph manipulations are often the first step towards executing advanced attacks such as stealing a user's credentials, Cross-Site Scripting (XSS), or log forgery. If an attacker redirects a user to a malicious site, the attacker can mimic a trusted domain to steal account credentials and perform actions on behalf of the user, without the user's knowledge. Similarly, an attacker could create a username for a website that contains homoglyph characters, making it difficult for an admin to review logs and determine which users performed which actions.","Scopes: Integrity, Confidentiality | Impacts: Other | Notes: An attacker may ultimately redirect a user to a malicious website, by deceiving the user into believing the URL they are accessing is a trusted domain. However, the attack can also be used to forge log entries by using homoglyphs in usernames. Homoglyph manipulations are often the first step towards executing advanced attacks such as stealing a user's credentials, Cross-Site Scripting (XSS), or log forgery. If an attacker redirects a user to a malicious site, the attacker can mimic a trusted domain to steal account credentials and perform actions on behalf of the user, without the user's knowledge. Similarly, an attacker could create a username for a website that contains homoglyph characters, making it difficult for an admin to review logs and determine which users performed which actions.",Implementation,,,"Use a browser that displays Punycode for IDNs in the URL and status bars, or which color code various scripts in URLs. Due to the prominence of homoglyph attacks, several browsers now help safeguard against this attack via the use of Punycode. For example, Mozilla Firefox and Google Chrome will display IDNs as Punycode if top-level domains do not restrict which characters can be used in domain names or if labels mix scripts for different languages. | Use an email client that has strict filters and prevents messages that mix character sets to end up in a user's inbox. Certain email clients such as Google's GMail prevent the use of non-Latin characters in email addresses or in links contained within emails. This helps prevent homoglyph attacks by flagging these emails and redirecting them to a user's spam folder.",Manual Dynamic Analysis,Moderate,"If utilizing user accounts, attempt to submit a username that contains homoglyphs. Similarly, check to see if links containing homoglyphs can be sent via email, web browsers, or other mechanisms."
CWE-102,Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.","If two validation forms have the same name, the Struts Validator arbitrarily chooses one of the forms to use for input validation and discards the other. This decision might not correspond to the programmer's expectations, possibly leading to resultant weaknesses. Moreover, it indicates that the validation logic is not up-to-date, and can indicate that other, more subtle validation errors are present.",,"CWE-694, CWE-1173, CWE-20",,Integrity,Unexpected State,,Scopes: Integrity | Impacts: Unexpected State,Implementation,,,"The DTD or schema validation will not catch the duplicate occurrence of the same form name. To find the issue in the implementation, manual checks or automated static analysis could be applied to the xml configuration files.",,,
CWE-1021,Improper Restriction of Rendered UI Layers or Frames,The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain.,,"CAPEC-103, CAPEC-181, CAPEC-222, CAPEC-504, CAPEC-506, CAPEC-587, CAPEC-654","CWE-441, CWE-610, CWE-451",,Access Control,"Gain Privileges or Assume Identity, Bypass Protection Mechanism, Read Application Data, Modify Application Data","An attacker can trick a user into performing actions that are masked and hidden from the user's view. The impact varies widely, depending on the functionality of the underlying application. For example, in a social media application, clickjacking could be used to trick the user into changing privacy settings.","Scopes: Access Control | Impacts: Gain Privileges or Assume Identity, Bypass Protection Mechanism, Read Application Data, Modify Application Data | Notes: An attacker can trick a user into performing actions that are masked and hidden from the user's view. The impact varies widely, depending on the functionality of the underlying application. For example, in a social media application, clickjacking could be used to trick the user into changing privacy settings.",Implementation,,,"The use of X-Frame-Options allows developers of web content to restrict the usage of their application within the form of overlays, frames, or iFrames. The developer can indicate from which domains can frame the content. The concept of X-Frame-Options is well documented, but implementation of this protection mechanism is in development to cover gaps. There is a need for allowing frames from multiple domains. | A developer can use a ""frame-breaker"" script in each page that should not be framed. This is very helpful for legacy browsers that do not support X-Frame-Options security feature previously mentioned. It is also important to note that this tactic has been circumvented or bypassed. Improper usage of frames can persist in the web application through nested frames. The ""frame-breaking"" script does not intuitively account for multiple nested frames that can be presented to the user. | This defense-in-depth technique can be used to prevent the improper usage of frames in web applications. It prioritizes the valid sources of data to be loaded into the application through the usage of declarative policies. Based on which implementation of Content Security Policy is in use, the developer should use the ""frame-ancestors"" directive or the ""frame-src"" directive to mitigate this weakness. Both directives allow for the placement of restrictions when it comes to allowing embedded content. | In addition to frames or iframes as previously mentioned, the web application is expected to place restrictions on whether it is allowed to be rendered within objects, embed, or applet elements.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.","When a user clicks a link to an external site (""target""), the target=""_blank"" attribute causes the target site's contents to be opened in a new window or tab, which runs in the same process as the original page. The window.opener object records information about the original page that offered the link. If an attacker can run script on the target page, then they could read or modify certain properties of the window.opener object, including the location property - even if the original and target site are not the same origin. An attacker can modify the location property to automatically redirect the user to a malicious site, e.g. as part of a phishing attack. Since this redirect happens in the original window/tab - which is not necessarily visible, since the browser is focusing the display on the new target page - the user might not notice any suspicious redirection.",,CWE-266,,Confidentiality,Alter Execution Logic,The user may be redirected to an untrusted page that contains undesired content or malicious script code.,Scopes: Confidentiality | Impacts: Alter Execution Logic | Notes: The user may be redirected to an untrusted page that contains undesired content or malicious script code.,"Architecture and Design, Implementation",,,"Specify in the design that any linked external document must not be granted access to the location object of the calling page. | When creating a link to an external document using the <a> tag with a defined target, for example ""_blank"" or a named frame, provide the rel attribute with a value ""noopener noreferrer"". If opening the external document in a new window via javascript, then reset the opener by setting it equal to null. | Do not use ""_blank"" targets. However, this can affect the usability of the application.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1023,Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",,,CWE-697,,"Integrity, Access Control","Alter Execution Logic, Bypass Protection Mechanism","An incomplete comparison can lead to resultant weaknesses, e.g., by operating on the wrong object or making a security decision without considering a required factor.","Scopes: Integrity, Access Control | Impacts: Alter Execution Logic, Bypass Protection Mechanism | Notes: An incomplete comparison can lead to resultant weaknesses, e.g., by operating on the wrong object or making a security decision without considering a required factor.",,,,,Manual Static Analysis,,Thoroughly test the comparison scheme before deploying code into production. Perform positive testing as well as negative testing.
CWE-1024,Comparison of Incompatible Types,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",,,CWE-697,,Other,Varies by Context,,Scopes: Other | Impacts: Varies by Context,,,,,"Automated Static Analysis, Manual Static Analysis",,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.) | Thoroughly test the comparison scheme before deploying code into production. Perform positive testing as well as negative testing."
CWE-1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",,,CWE-697,,Other,Varies by Context,"This can lead to incorrect results and resultant weaknesses. For example, the code might inadvertently compare references to objects, instead of the relevant contents of those objects, causing two ""equal"" objects to be considered unequal.","Scopes: Other | Impacts: Varies by Context | Notes: This can lead to incorrect results and resultant weaknesses. For example, the code might inadvertently compare references to objects, instead of the relevant contents of those objects, causing two ""equal"" objects to be considered unequal.",,,,,Manual Static Analysis,,Thoroughly test the comparison scheme before deploying code into production. Perform positive testing as well as negative testing.
CWE-103,Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",,,"CWE-573, CWE-20",,"Other, Confidentiality, Integrity, Availability","Unexpected State, Varies by Context, Other","If the code does not call super.validate(), the Validation Framework cannot check the contents of the form against a validation form. In other words, the validation framework will be disabled for the given form. Disabling the validation framework for a form exposes the product to numerous types of attacks. | Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.","Scopes: Other, Confidentiality, Integrity, Availability | Impacts: Unexpected State, Varies by Context, Other | Notes: If the code does not call super.validate(), the Validation Framework cannot check the contents of the form against a validation form. In other words, the validation framework will be disabled for the given form. Disabling the validation framework for a form exposes the product to numerous types of attacks. | Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",Implementation,,,Implement the validate() method and call super.validate() within that method.,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1037,Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",,CAPEC-663,CWE-1038,,Integrity,Bypass Protection Mechanism,A successful exploitation of this weakness will change the order of an application's execution and will likely be used to bypass specific protection mechanisms. This bypass can be exploited further to potentially read data that should otherwise be unaccessible.,Scopes: Integrity | Impacts: Bypass Protection Mechanism | Notes: A successful exploitation of this weakness will change the order of an application's execution and will likely be used to bypass specific protection mechanisms. This bypass can be exploited further to potentially read data that should otherwise be unaccessible.,,,,,White Box,Opportunistic,In theory this weakness can be detected through the use of white box testing techniques where specifically crafted test cases are used in conjunction with debuggers to verify the order of statements being executed.
