capec,name,parent,child
CAPEC-1,accessing functionality not properly constrained by acls,CAPEC-122,CAPEC-58; CAPEC-679; CAPEC-680; CAPEC-681
CAPEC-2,inducing account lockout,CAPEC-212,
CAPEC-3,using leading 'ghost' character sequences to bypass input filters,CAPEC-267,
CAPEC-4,using alternative ip address encodings,CAPEC-267,
CAPEC-5,blue boxing,CAPEC-220,
CAPEC-6,argument injection,CAPEC-137,
CAPEC-7,blind sql injection,CAPEC-66,
CAPEC-8,buffer overflow in an api call,CAPEC-100,
CAPEC-9,buffer overflow in local command-line utilities,CAPEC-100,
CAPEC-10,buffer overflow via environment variables,CAPEC-100,
CAPEC-11,cause web server misclassification,CAPEC-635,
CAPEC-12,choosing message identifier,CAPEC-216,
CAPEC-13,subverting environment variable values,CAPEC-77,
CAPEC-14,client-side injection-induced buffer overflow,CAPEC-100,
CAPEC-15,command delimiters,CAPEC-137,CAPEC-460
CAPEC-16,dictionary-based password attack,CAPEC-49,
CAPEC-17,using malicious files,CAPEC-122,CAPEC-177; CAPEC-263; CAPEC-562; CAPEC-563; CAPEC-642; CAPEC-650
CAPEC-18,xss targeting non-script elements,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-19,embedding scripts within scripts,CAPEC-242,
CAPEC-20,encryption brute forcing,CAPEC-112,
CAPEC-21,exploitation of trusted identifiers,,CAPEC-62; CAPEC-196; CAPEC-510; CAPEC-593
CAPEC-22,exploiting trust in client,,CAPEC-39; CAPEC-77; CAPEC-202; CAPEC-207
CAPEC-23,file content injection,CAPEC-242,CAPEC-44
CAPEC-24,filter failure through buffer overflow,CAPEC-100,
CAPEC-25,forced deadlock,,
CAPEC-26,leveraging race conditions,,CAPEC-29
CAPEC-27,leveraging race conditions via symbolic links,CAPEC-29,
CAPEC-28,fuzzing,,CAPEC-215
CAPEC-29,leveraging time-of-check and time-of-use (toctou) race conditions,CAPEC-26,CAPEC-27
CAPEC-30,hijacking a privileged thread of execution,CAPEC-233,
CAPEC-31,accessing/intercepting/modifying http cookies,CAPEC-39; CAPEC-157,
CAPEC-32,xss through http query strings,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-33,http request smuggling,CAPEC-220,
CAPEC-34,http response splitting,CAPEC-220,
CAPEC-35,leverage executable code in non-executable files,CAPEC-636,
CAPEC-36,using unpublished interfaces or functionality,CAPEC-113,
CAPEC-37,retrieve embedded sensitive data,CAPEC-167,
CAPEC-38,leveraging/manipulating configuration file search paths,CAPEC-159,
CAPEC-39,manipulating opaque client-based data tokens,CAPEC-22,CAPEC-31
CAPEC-40,manipulating writeable terminal devices,CAPEC-248,
CAPEC-41,using meta-characters in e-mail headers to inject malicious payloads,CAPEC-134; CAPEC-242,
CAPEC-42,mime conversion,CAPEC-100,
CAPEC-43,exploiting multiple input interpretation layers,CAPEC-267,
CAPEC-44,overflow binary resource file,CAPEC-23; CAPEC-100,
CAPEC-45,buffer overflow via symbolic links,CAPEC-100,
CAPEC-46,overflow variables and tags,CAPEC-100,
CAPEC-47,buffer overflow via parameter expansion,CAPEC-100,
CAPEC-48,passing local filenames to functions that expect a url,CAPEC-212,
CAPEC-49,password brute forcing,CAPEC-112,CAPEC-16; CAPEC-55; CAPEC-70; CAPEC-565
CAPEC-50,password recovery exploitation,CAPEC-212,
CAPEC-51,poison web service registry,CAPEC-203,
CAPEC-52,embedding null bytes,CAPEC-267,
CAPEC-53,"postfix, null terminate, and backslash",CAPEC-267,
CAPEC-54,query system for information,CAPEC-116,CAPEC-95; CAPEC-127; CAPEC-215; CAPEC-261; CAPEC-462
CAPEC-55,rainbow table password cracking,CAPEC-49,
CAPEC-57,utilizing rest's trust in the system resource to obtain sensitive data,CAPEC-157,
CAPEC-58,restful privilege elevation,CAPEC-1; CAPEC-180,
CAPEC-59,session credential falsification through prediction,CAPEC-196,
CAPEC-60,reusing session ids (aka session replay),CAPEC-593,
CAPEC-61,session fixation,CAPEC-593,
CAPEC-62,cross site request forgery,CAPEC-21,CAPEC-467
CAPEC-63,cross-site scripting (xss),CAPEC-242,CAPEC-588; CAPEC-591; CAPEC-592
CAPEC-64,using slashes and url encoding combined to bypass validation logic,CAPEC-267,
CAPEC-65,sniff application code,CAPEC-157,
CAPEC-66,sql injection,CAPEC-248,CAPEC-7; CAPEC-108; CAPEC-109; CAPEC-110; CAPEC-470
CAPEC-67,string format overflow in syslog(),CAPEC-100; CAPEC-135,
CAPEC-68,subvert code-signing facilities,CAPEC-233,
CAPEC-69,target programs with elevated privileges,CAPEC-233,
CAPEC-70,try common or default usernames and passwords,CAPEC-49,
CAPEC-71,using unicode encoding to bypass validation logic,CAPEC-267,
CAPEC-72,url encoding,CAPEC-267,
CAPEC-73,user-controlled filename,CAPEC-165,
CAPEC-74,manipulating state,,CAPEC-140; CAPEC-663
CAPEC-75,manipulating writeable configuration files,CAPEC-176,
CAPEC-76,manipulating web input to file system calls,CAPEC-126,
CAPEC-77,manipulating user-controlled variables,CAPEC-22,CAPEC-13; CAPEC-162
CAPEC-78,using escaped slashes in alternate encoding,CAPEC-267,
CAPEC-79,using slashes in alternate encoding,CAPEC-267,
CAPEC-80,using utf-8 encoding to bypass validation logic,CAPEC-267,
CAPEC-81,web server logs tampering,CAPEC-268,
CAPEC-83,xpath injection,CAPEC-250,
CAPEC-84,xquery injection,CAPEC-250,
CAPEC-85,ajax footprinting,CAPEC-580,
CAPEC-86,xss through http headers,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-87,forceful browsing,CAPEC-115,
CAPEC-88,os command injection,CAPEC-248,
CAPEC-89,pharming,CAPEC-151,
CAPEC-90,reflection attack in authentication protocol,CAPEC-114; CAPEC-272,
CAPEC-92,forced integer overflow,CAPEC-128,
CAPEC-93,log injection-tampering-forging,CAPEC-268,
CAPEC-94,adversary in the middle (aitm),,CAPEC-219; CAPEC-384; CAPEC-386; CAPEC-466; CAPEC-662; CAPEC-701
CAPEC-95,wsdl scanning,CAPEC-54,
CAPEC-96,block access to libraries,CAPEC-603,
CAPEC-97,cryptanalysis,CAPEC-192,CAPEC-463; CAPEC-608
CAPEC-98,phishing,CAPEC-151,CAPEC-163; CAPEC-164; CAPEC-656
CAPEC-100,overflow buffers,CAPEC-123,CAPEC-8; CAPEC-9; CAPEC-10; CAPEC-14; CAPEC-24; CAPEC-42; CAPEC-44; CAPEC-45; CAPEC-46; CAPEC-47; CAPEC-67; CAPEC-256
CAPEC-101,server side include (ssi) injection,CAPEC-253,
CAPEC-102,session sidejacking,CAPEC-593,
CAPEC-103,clickjacking,CAPEC-173,CAPEC-181; CAPEC-222; CAPEC-587
CAPEC-104,cross zone scripting,CAPEC-233,
CAPEC-105,http request splitting,CAPEC-220,
CAPEC-107,cross site tracing,CAPEC-593,
CAPEC-108,command line execution through sql injection,CAPEC-66,
CAPEC-109,object relational mapping injection,CAPEC-66,
CAPEC-110,sql injection through soap parameter tampering,CAPEC-66,
CAPEC-111,json hijacking (aka javascript hijacking),CAPEC-212,
CAPEC-112,brute force,,CAPEC-20; CAPEC-49
CAPEC-113,interface manipulation,,CAPEC-36; CAPEC-121; CAPEC-133; CAPEC-160
CAPEC-114,authentication abuse,,CAPEC-90
CAPEC-115,authentication bypass,,CAPEC-87; CAPEC-461; CAPEC-480; CAPEC-664; CAPEC-668
CAPEC-116,excavation,,CAPEC-54; CAPEC-150; CAPEC-545; CAPEC-569; CAPEC-675
CAPEC-117,interception,,CAPEC-157; CAPEC-499; CAPEC-651
CAPEC-120,double encoding,CAPEC-267,
CAPEC-121,exploit non-production interfaces,CAPEC-113,CAPEC-661
CAPEC-122,privilege abuse,,CAPEC-1; CAPEC-17; CAPEC-180; CAPEC-201; CAPEC-503
CAPEC-123,buffer manipulation,,CAPEC-100; CAPEC-540
CAPEC-124,shared resource manipulation,,
CAPEC-125,flooding,,CAPEC-482; CAPEC-486; CAPEC-487; CAPEC-488; CAPEC-489; CAPEC-490; CAPEC-528; CAPEC-666
CAPEC-126,path traversal,CAPEC-153,CAPEC-76; CAPEC-139; CAPEC-597
CAPEC-127,directory indexing,CAPEC-54,
CAPEC-128,integer attacks,CAPEC-153,CAPEC-92
CAPEC-129,pointer manipulation,,
CAPEC-130,excessive allocation,,CAPEC-230; CAPEC-231; CAPEC-492; CAPEC-493; CAPEC-494; CAPEC-495; CAPEC-496
CAPEC-131,resource leak exposure,,
CAPEC-132,symlink attack,CAPEC-159,
CAPEC-133,try all common switches,CAPEC-113,
CAPEC-134,email injection,CAPEC-137,CAPEC-41
CAPEC-135,format string injection,CAPEC-137,CAPEC-67
CAPEC-136,ldap injection,CAPEC-248,
CAPEC-137,parameter injection,,CAPEC-6; CAPEC-15; CAPEC-134; CAPEC-135; CAPEC-138; CAPEC-182
CAPEC-138,reflection injection,CAPEC-137,
CAPEC-139,relative path traversal,CAPEC-126,
CAPEC-140,bypassing of intermediate forms in multiple-form sets,CAPEC-74,
CAPEC-141,cache poisoning,CAPEC-161,CAPEC-142
CAPEC-142,dns cache poisoning,CAPEC-141,
CAPEC-143,detect unpublicized web pages,CAPEC-150,
CAPEC-144,detect unpublicized web services,CAPEC-150,
CAPEC-145,checksum spoofing,CAPEC-148,
CAPEC-146,xml schema poisoning,CAPEC-271,
CAPEC-147,xml ping of the death,CAPEC-528,
CAPEC-148,content spoofing,,CAPEC-145; CAPEC-218; CAPEC-502; CAPEC-627
CAPEC-149,explore for predictable temporary file names,CAPEC-497,
CAPEC-150,collect data from common resource locations,CAPEC-116,CAPEC-143; CAPEC-144; CAPEC-155; CAPEC-406; CAPEC-637; CAPEC-647; CAPEC-648
CAPEC-151,identity spoofing,,CAPEC-89; CAPEC-98; CAPEC-194; CAPEC-195; CAPEC-473
CAPEC-153,input data manipulation,,CAPEC-126; CAPEC-128; CAPEC-267
CAPEC-154,resource location spoofing,,CAPEC-159; CAPEC-616
CAPEC-155,screen temporary files for sensitive information,CAPEC-150,
CAPEC-157,sniffing attacks,CAPEC-117,CAPEC-31; CAPEC-57; CAPEC-65; CAPEC-158; CAPEC-609
CAPEC-158,sniffing network traffic,CAPEC-157,
CAPEC-159,redirect access to libraries,CAPEC-154,CAPEC-38; CAPEC-132; CAPEC-471; CAPEC-641
CAPEC-160,exploit script-based apis,CAPEC-113,
CAPEC-161,infrastructure manipulation,,CAPEC-141; CAPEC-166; CAPEC-268; CAPEC-481; CAPEC-571; CAPEC-700
CAPEC-162,manipulating hidden fields,CAPEC-77,
CAPEC-163,spear phishing,CAPEC-98,
CAPEC-164,mobile phishing,CAPEC-98,
CAPEC-165,file manipulation,,CAPEC-73; CAPEC-572; CAPEC-635; CAPEC-636
CAPEC-166,force the system to reset values,CAPEC-161,
CAPEC-167,white box reverse engineering,CAPEC-188,CAPEC-37; CAPEC-190; CAPEC-191; CAPEC-204
CAPEC-168,windows ::data alternate data stream,CAPEC-636,
CAPEC-169,footprinting,,CAPEC-292; CAPEC-300; CAPEC-309; CAPEC-497; CAPEC-529; CAPEC-573; CAPEC-574; CAPEC-575; CAPEC-576; CAPEC-577; CAPEC-580; CAPEC-646; CAPEC-694
CAPEC-170,web application fingerprinting,CAPEC-541,
CAPEC-173,action spoofing,,CAPEC-103; CAPEC-501; CAPEC-504; CAPEC-506
CAPEC-174,flash parameter injection,CAPEC-182,
CAPEC-175,code inclusion,,CAPEC-251; CAPEC-253
CAPEC-176,configuration/environment manipulation,,CAPEC-75; CAPEC-203; CAPEC-271; CAPEC-536; CAPEC-578
CAPEC-177,create files with the same name as files protected with a higher classification,CAPEC-17,
CAPEC-178,cross-site flashing,CAPEC-182,
